"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"01001799999","2004-01-02T07:50:00","59.98","2.25","48.0","FRIGG, NO","FM-15","4","30.15","30","41","","","","","66","BKN:07 15","","","7.00","","180","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET046ENFR 020750Z 18036KT 9999 BKN015 05/M01 Q1021;","","","","","","","","","",""
"01001799999","2004-01-04T11:50:00","59.98","2.25","48.0","FRIGG, NO","FM-15","4","29.91","32","43","","","","","66","SCT:04 18","","","7.00","","360","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET046ENFR 041150Z 36016KT 9999 SCT018 06/M00 Q1013;","","","","","","","","","",""
"01001799999","2004-01-05T05:50:00","59.98","2.25","48.0","FRIGG, NO","FM-15","4","29.85","34","45","","","","","66","BKN:07 12","","","7.00","","180","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET045ENFR 050550Z 18018KT 9999 BKN012 07/01 Q1011;","","","","","","","","","",""
"01001799999","2004-01-05T06:50:00","59.98","2.25","48.0","FRIGG, NO","FM-15","4","29.85","34","45","","","","","66","BKN:07 12","","","7.00","","180","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET045ENFR 050650Z 18022KT 9999 BKN012 07/01 Q1011;","","","","","","","","","",""
"01001799999","2004-01-05T07:50:00","59.98","2.25","48.0","FRIGG, NO","FM-15","4","29.85","36","45","","","","","71","BKN:07 12","","","7.00","","190","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET045ENFR 050750Z 19024KT 9999 BKN012 07/02 Q1011;","","","","","","","","","",""
"01001799999","2004-01-05T08:50:00","59.98","2.25","48.0","FRIGG, NO","FM-15","4","29.83","37","43","","||RA","","","81","BKN:07 10","","","7.00","","180","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET048ENFR 050850Z 18025KT 9999 RA BKN010 06/03 Q1010;","","","","","","","","","",""
"01001799999","2004-01-05T09:50:00","59.98","2.25","48.0","FRIGG, NO","FM-15","4","29.83","37","45","","","","","76","BKN:07 12","","","7.00","","180","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET045ENFR 050950Z 18028KT 9999 BKN012 07/03 Q1010;","","","","","","","","","",""
"01001799999","2004-01-05T10:50:00","59.98","2.25","48.0","FRIGG, NO","FM-15","4","29.83","39","43","","||RA","","","87","BKN:07 10","","","4.97","","170","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET049ENFR 051050Z 17028KT 8000 -RA BKN010 06/04 Q1010;","","","","","","","","","",""
"01001799999","2004-01-06T05:50:00","59.98","2.25","48.0","FRIGG, NO","FM-15","4","29.44","43","46","","","","","87","BKN:07 10","","","5.59","","190","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET045ENFR 060550Z 19024KT 9000 BKN010 08/06 Q0997;","","","","","","","","","",""
"01001799999","2004-01-06T06:50:00","59.98","2.25","48.0","FRIGG, NO","FM-15","4","29.47","45","48","","","","","87","BKN:07 10","","","5.59","","200","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET045ENFR 060650Z 20022KT 9000 BKN010 09/07 Q0998;","","","","","","","","","",""
