"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"01003099999","2009-01-01T01:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-14","0","","","-0.03","1","49","","30.11","","12.43","","330","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  01001 01003 11970 13301 11177 21258 40197 51009 60001 70200 80001 333 91112;","","","","","","","","","",""
"01003099999","2009-01-01T04:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-10","4","","","+0.02","8","51","","30.09","","12.43","","300","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  01031 01003 41970 23002 11156 21236 40189 58008 70200 80002;","","","","","","","","","",""
"01003099999","2009-01-01T07:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-8","5","","","+0.01","8","55","","30.07","","12.43","","030","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN088AAXX  01061 01003 11970 10301 11150 21220 40184 58004 60002 70200 80002 333 21188 49027;","","","","","","","","","",""
"01003099999","2009-01-01T10:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-6","8","","","+0.01","6","52","","30.06","","12.43","","040","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  01091 01003 41570 30402 11135 21213 40180 56004 70200 81542;","","","","","","","","","",""
"01003099999","2009-01-01T13:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-9","3","","","+0.00","5","58","","30.06","","15.53","","040","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  01121 01003 11575 30402 11161 21226 40181 55000 60001 70200 81542 333 91108;","","","","","","","","","",""
"01003099999","2009-01-01T16:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-9","4","","","+0.00","6","56","","30.06","","12.43","","090","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  01151 01003 41570 20907 11158 21227 40180 56001 70200 81502;","","","","","","","","","",""
"01003099999","2009-01-01T19:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-11","-2","","","-0.04","2","67","","30.10","","9.32","","060","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  01181 01003 11565 20604 11190 21237 40193 52013 60002 70200 82500 333 11135;","","","","","","","","","",""
"01003099999","2009-01-01T22:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-10","1","","","-0.03","2","58","","30.13","","9.32","","080","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  01211 01003 41565 20803 11173 21236 40202 52009 70200 82500;","","","","","","","","","",""
"01003099999","2009-01-02T01:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-9","0","","","-0.02","2","63","","30.15","","9.32","","070","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN072AAXX  02001 01003 11565 20704 11175 21229 40210 52008 60001 70200 82500;","","","","","","","","","",""
"01003099999","2009-01-02T04:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-4","5","","","-0.03","1","65","","30.18","","9.32","","260","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  02031 01003 41565 22602 11148 21199 40219 51009 70200 82500;","","","","","","","","","",""
