"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"01007099999","2001-01-01T01:00:00","78.9166666","11.9333333","7.7","NY ALESUND, SV","FM-12","4","","13","23","","","+0.03","8","66","","29.80","29.78","","20","100","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  01004 01007 46/// /1010 11051 21106 30083 40093 58009 333 91113;","","","","","","","","","",""
"01007099999","2001-01-02T16:00:00","78.9166666","11.9333333","7.7","NY ALESUND, SV","FM-12","4","","24","24","","","0.00","4","97","","29.35","29.32","","24","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  02154 01007 46/// /0000 11042 21046 39930 49940 54000;","","","","","","","","","",""
"01007099999","2001-01-02T19:00:00","78.9166666","11.9333333","7.7","NY ALESUND, SV","FM-12","4","","22","25","","","-0.03","3","91","VV:09","29.38","29.36","3.11","24","260","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN088AAXX  02184 01007 11/50 92607 11040 21053 39941 49950 53011 60022 77372 333 11032 91109;","","","","","","","","","",""
"01007099999","2001-01-02T22:00:00","78.9166666","11.9333333","7.7","NY ALESUND, SV","FM-12","4","","18","22","","","-0.06","3","84","","29.45","29.42","","21","260","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  02214 01007 46/// /2606 11053 21076 39962 49972 53021;","","","","","","","","","",""
"01007099999","2001-01-03T13:00:00","78.9166666","11.9333333","7.7","NY ALESUND, SV","FM-12","4","","13","17","","","","","84","VV:09","29.69","29.66","9.32","16","250","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  03124 01007 41/65 92504 11086 21108 30045 40055 5/016 77373 333 911//;","","","","","","","","","",""
"01007099999","2001-01-03T16:00:00","78.9166666","11.9333333","7.7","NY ALESUND, SV","FM-12","4","","10","14","","","-0.02","1","83","","29.72","29.69","","13","260","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  03154 01007 46/// /2604 11099 21123 30053 40063 51008;","","","","","","","","","",""
"01007099999","2001-01-03T19:00:00","78.9166666","11.9333333","7.7","NY ALESUND, SV","FM-12","4","","11","15","","","+0.01","8","84","","29.70","29.67","3.11","14","140","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN088AAXX  03184 01007 11350 71401 11094 21116 30049 40059 58004 69922 77073 877// 333 91107;","","","","","","","","","",""
"01007099999","2001-01-03T22:00:00","78.9166666","11.9333333","7.7","NY ALESUND, SV","FM-12","4","","7","13","","","+0.02","8","76","","29.68","29.65","","12","140","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  03214 01007 46/// /1403 11106 21141 30041 40051 58008;","","","","","","","","","",""
"01007099999","2001-01-04T01:00:00","78.9166666","11.9333333","7.7","NY ALESUND, SV","FM-12","4","","7","16","","","+0.09","8","67","","29.59","29.57","","14","260","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  04004 01007 46/// /2601 11090 21140 30012 40022 58029 333 91107;","","","","","","","","","",""
"01007099999","2001-01-04T04:00:00","78.9166666","11.9333333","7.7","NY ALESUND, SV","FM-12","4","","13","23","","","+0.10","6","67","","29.49","29.46","","20","120","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  04034 01007 46/// /1203 11052 21104 39977 49987 56035;","","","","","","","","","",""
